volid,reviewed,obscure,pubdate,birthdate,gender,nation,allwords,logistic,author,title,pubname,actually,realclass
wu.89098012313,rev,obscure,1880,1826,f,us,15801,0.58506515209,"Bostwick, Helen Louise Barron,",Four-o'clocks,ATL,reviewed,1
nyp.33433074819172,rev,known,1868,1840,m,us,43095,0.583108106095,"Wright, William Bull,",Highland rambles: a poem,ATL,reviewed,1
uc1.b2834136,not,obscure,1892,1846,f,uk,33043,0.414145701597,"Kinloch, Marjory G. J.",A song-book of the soul,,random,0
nyp.33433066626916,rev,known,1883,1834,m,us,25207,0.617994549789,"Nichols, Starr Hoyt,",Monte Rosa,ATL,reviewed,1
uc1.b158313,rev,known,1852,1823,m,us,23467,0.558659945718,"Boker, George H.",The Podesta's Daughter,GrM,reviewed,1
nyp.33433074849005,not,obscure,1859,1831,m,uk,17119,0.513225876688,"Farrar, F. W.",Lyrics of life,,random,0
mdp.39015063926003,not,obscure,1910,1871,f,us,4231,0.575578842312,"Ranum, Louise Cann,",Dreams,,random,0
loc.ark+=13960=t0pr8c51w,not,obscure,1828,0,f,us,14254,0.23758151018,"Jones, Elizabeth C.",Fugitive poems,,random,0
loc.ark+=13960=t9184308z,not,obscure,1866,0,m,us,30945,0.155167125869,"Hodson, Joseph.",Miscellaneous poems,,random,0
loc.ark+=13960=t7jq1gj08,not,obscure,1862,1835,m,us,24027,0.446054639999,"Hewes, George Whitfield.",Ballads of the war,,random,0
nyp.33433081895090,not,obscure,1897,1844,f,us,16902,0.277536620552,"Fordham, Mary Weston.",Magnolia leaves,,random,0
uc2.ark+=13960=t06w96n8w,rev,known,1871,1836,m,us,13548,0.538359451935,"Winter, William,",My witness,ATL,reviewed,1
uc2.ark+=13960=t92807683,rev,known,1913,1886,m,us,25346,0.644488072787,"Wheelock, John Hall,",Love and liberation;,PMV,reviewed,1
njp.32101068972841,not,obscure,1863,0,f,uk,17313,0.590515152582,"Law, Isabella.",Winter weavings,,random,0
loc.ark+=13960=t95720v25,rev,known,1872,1835,f,us,10010,0.67962810314,"Thaxter, Celia,",Poems,ATL,reviewed,1
uc2.ark+=13960=t23b62184,not,obscure,1892,1866,m,uk,18737,0.632102384683,"Le Gallienne, Richard,",English poems,,random,0
loc.ark+=13960=t2h70wf5d,not,obscure,1915,1858,m,us,5030,0.368808123685,"Bolmer, Clarence Buckmaster.",Day dreams,,random,0
njp.32101051387882,not,obscure,1856,0,,uk,9161,0.36556960123,"Charlesworth, E. G.",Poems,,random,0
loc.ark+=13960=t91846423,not,obscure,1901,1876,m,us,7938,0.414826509728,"Smith, Robinson,",The soul-at-arms and other poems,,random,0
uc2.ark+=13960=t9h41kd1k,rev,known,1900,1825,f,us,10421,0.588957601008,"Dorr, Julia C. R.",Afterglow;,ATL,reviewed,1
nyp.33433076035355,not,obscure,1842,1809,f,us,44191,0.397142835944,"Scott, Julia H. Kinney,",Poems,,random,0
loc.ark+=13960=t24b3p10w,not,obscure,1842,0,m,us,23323,0.253405115931,"Smith, Benjamin","Poems, moral and religious",,random,0
mdp.39015012978758,rev,known,1916,1888,m,us,27745,0.613575447204,"Seeger, Alan,",Poems,EGO,reviewed,1
uc2.ark+=13960=t7gq6x66b,rev,known,1875,1837,m,uk,13179,0.714502465349,"Swinburne, Algernon Charles,",Songs of two nations,FR,"Norton, in-set",1
uc1.b274713,rev,known,1874,1831,f,us,15809,0.633420369751,"Perry, Nora,",After the ball,ATL,reviewed,1
hvd.hwnzqz,rev,known,1819,1788,m,uk,6780,0.471166479275,"Byron, George Gordon Byron,",The prophecy of Dante,ER,"Norton, in-set",1
uc2.ark+=13960=t5h98zx14,rev,known,1912,1874,f,us,14251,0.6188838651,"Lowell, Amy,",A dome of many-colored glass,EGO,"Norton, in-set",1
uc1.b4382847,rev,known,1891,1856,f,us,11302,0.808040723467,"Reese, Lizette Woodworth,",A handful of lavender,ATL,reviewed,1
uc1.b3342759,not,obscure,1919,1874,f,us,4807,0.368272014792,"Wigren, Bessie C.",Summer wind,,random,0
uc2.ark+=13960=t05x2bh3q,not,obscure,1865,0,,,43754,0.397781608181,anonymous7,Wermigey; or The weir amid the water,,random,0
loc.ark+=13960=t2891p34v,rev,known,1891,1859,f,us,11627,0.680097052302,"Cone, Helen Gray,",The ride to the lady,ATL,reviewed,1
loc.ark+=13960=t8w95rc5h,not,obscure,1904,1830,m,,30956,0.447399517902,"St. John, Charles Henry.",The dawn of freedom;,,random,0
nyp.33433069343402,rev,known,1887,1841,m,us,12824,0.656846049287,"Sill, Edward Rowland,",Poems,ATL,reviewed,1
uc1.b274909,rev,known,1861,1821,f,uk,51722,0.613811855566,"Greenwell, Dora,",Poems,WR,reviewed,1
njp.32101066693696,not,obscure,1835,0,,us,11983,0.284629733445,anonymous8,"A Glance at the nations, with other poems",,random,0
mdp.39015023542395,rev,known,1840,1762,f,uk,54405,0.451471820655,"Baillie, Joanna,",Fugitive verses,QR,"Norton, in-set",1
nyp.33433076030042,rev,known,1840,1819,m,us,29020,0.496322325887,"Cone, Spencer Wallace,",The proud ladye,GrM,reviewed,1
loc.ark+=13960=t1fj2t30n,not,obscure,1892,0,,,4115,0.418213604073,"Rowley, A. A. [from old catalog]",Kansas campaign songs,,random,0
uc2.ark+=13960=t0zp3xm93,rev,known,1894,1845,m,us,11267,0.591908847385,"Tabb, John B.",Poems,ATL,reviewed,1
uva.x002264382,rev,known,1908,1846,f,uk,22320,0.660289509142,"Field, Michael.",Wild honey from various thyme,TNA,"Norton, in-set",1
uc2.ark+=13960=t0dv1jg7s,rev,known,1871,1833,m,uk,38183,0.608832367292,"Morris, Lewis,",Songs of two worlds,FR,reviewed,1
uc2.ark+=13960=fk5p84448t,rev,known,1902,1866,m,us,6542,0.452504835493,"Taylor, Bert Leston,",Line-o'-type lyrics,ATL,reviewed,1
uc2.ark+=13960=t9n29q258,rev,known,1881,1834,f,us,32490,0.54147775096,"Fields, Annie,",Under the olive,ATL,reviewed,1
